date,bus,route,event,duration,distance,stopname
21.04.2015,7139,1,stop,0,0,[0] Театр «Вера»
21.04.2015,7139,1,drive,47,815,-
21.04.2015,7139,1,stop,57,0,[2] Универсам
21.04.2015,7139,1,drive,57,927,-
21.04.2015,7139,1,stop,50,0,[4] 4-й микрорайон
21.04.2015,7139,1,drive,65,676,-
21.04.2015,7139,1,stop,65,0,[6] 3-й микрорайон
21.04.2015,7139,1,drive,65,588,-
21.04.2015,7139,1,stop,40,0,[8] 2-й микрорайон
21.04.2015,7139,1,drive,92,1054,-
21.04.2015,7139,1,stop,40,0,[10] Должанская улица
21.04.2015,7139,1,drive,85,1119,-
21.04.2015,7139,1,stop,120,0,[12] Дом торговли
21.04.2015,7139,1,drive,70,540,-
21.04.2015,7139,1,stop,40,0,[14] ДК Железнодорожников
21.04.2015,7139,1,drive,95,801,-
21.04.2015,7139,1,stop,80,0,[16] Больница №2
21.04.2015,7139,1,drive,110,964,-
21.04.2015,7139,1,stop,145,0,[18] станция метро «Ленинская»
21.04.2015,7139,1,drive,60,1185,-
21.04.2015,7139,1,stop,40,0,[20] Коммерческий институт
21.04.2015,7139,1,drive,20,353,-
21.04.2015,7139,1,stop,20,0,[22] Магазин «Товары для детей»
21.04.2015,7139,1,drive,85,1132,-
21.04.2015,7139,1,stop,140,0,[24] улица Адмирала Нахимова
21.04.2015,7139,1,drive,200,1107,-
21.04.2015,7139,1,stop,15,0,[26] улица Грекова
21.04.2015,7139,1,drive,30,621,-
21.04.2015,7139,1,stop,10,0,[28] площадь Маршала Жукова
21.04.2015,7139,1,drive,125,2665,-
21.04.2015,7139,1,stop,15,0,[30] Музей имени Сахарова
21.04.2015,7139,1,drive,28,481,-
21.04.2015,7139,1,stop,10,0,[31] Щербинки-2
22.04.2015,7139,1,stop,0,0,[0] Театр «Вера»
22.04.2015,7139,1,drive,40,815,-
22.04.2015,7139,1,stop,57,0,[2] Универсам
22.04.2015,7139,1,drive,37,927,-
22.04.2015,7139,1,stop,20,0,[4] 4-й микрорайон
22.04.2015,7139,1,drive,70,676,-
22.04.2015,7139,1,stop,40,0,[6] 3-й микрорайон
22.04.2015,7139,1,drive,80,588,-
22.04.2015,7139,1,stop,35,0,[8] 2-й микрорайон
22.04.2015,7139,1,drive,70,1054,-
22.04.2015,7139,1,stop,35,0,[10] Должанская улица
22.04.2015,7139,1,drive,50,1119,-
22.04.2015,7139,1,stop,80,0,[12] Дом торговли
22.04.2015,7139,1,drive,90,540,-
22.04.2015,7139,1,stop,50,0,[14] ДК Железнодорожников
22.04.2015,7139,1,drive,80,801,-
22.04.2015,7139,1,stop,80,0,[16] Больница №2
22.04.2015,7139,1,drive,90,964,-
22.04.2015,7139,1,stop,105,0,[18] станция метро «Ленинская»
22.04.2015,7139,1,drive,90,1185,-
22.04.2015,7139,1,stop,50,0,[20] Коммерческий институт
22.04.2015,7139,1,drive,40,353,-
22.04.2015,7139,1,stop,45,0,[22] Магазин «Товары для детей»
22.04.2015,7139,1,drive,70,1132,-
22.04.2015,7139,1,stop,90,0,[24] улица Адмирала Нахимова
22.04.2015,7139,1,drive,170,1107,-
22.04.2015,7139,1,stop,45,0,[26] улица Грекова
22.04.2015,7139,1,drive,25,621,-
22.04.2015,7139,1,stop,30,0,[28] площадь Маршала Жукова
22.04.2015,7139,1,drive,155,2665,-
22.04.2015,7139,1,stop,45,0,[30] Музей имени Сахарова
22.04.2015,7139,1,drive,25,481,-
22.04.2015,7139,1,stop,30,0,[31] Щербинки-2
